ID,NC_t1,DM_t1,NS_t1,ADD_t1,SUB_t1,CA_t1,NC_t2,DM_t2,NS_t2,ADD_t2,SUB_t2,CA_t2,RMAT,TIME
169,991.058823529412,3234,14,37,32,24,1026.5,3390.69230769231,16,39,35,24,26,14
170,687.96,1195,23,58,51,31,669.5,1044.87804878049,22,54,57,29,39,14
171,654.588235294118,1228.5,22,58,47,36,-99,-99,-99,-99,-99,-99,-99,-99
173,1029.29411764706,2998.8,12,45,23,10,-99,-99,-99,-99,-99,-99,-99,-99
174,870.745098039216,2054.76923076923,14,38,36,19,-99,-99,-99,-99,-99,-99,-99,-99
175,886.039215686275,1864.8,12,36,35,22,875.510204081633,1600.09756097561,18,43,41,30,34,27
176,761.647058823529,1256.92682926829,20,47,37,26,684,1216.9756097561,17,40,38,19,33,28
177,776.941176470588,1430.0487804878,19,37,38,23,679.64,1429.07692307692,17,27,34,20,35,28
178,813.511111111111,1294.26315789474,19,65,71,34,591.24,1134,21,68,68,40,33,28
179,889.5,2228.56097560976,13,33,31,14,865.8,2064.46153846154,12,33,29,24,34,27
180,997.176470588235,3266.78048780488,13,24,28,14,936.52,2765.85365853659,16,33,24,22,24,33
181,739.916666666667,1281.53846153846,14,44,39,26,973.142857142857,1162.875,21,49,40,28,33,28
182,1053,1370.92307692308,17,51,50,18,681.098039215686,1320.16216216216,18,44,38,28,44,27
183,692.64,1192.57894736842,8,45,39,4,669.24,1206.1875,7,36,25,18,36,14
184,-99,2194.21621621622,8,21,22,9,1394.95652173913,3409.875,8,9,28,12,21,33
185,1069.12,3261,7,28,24,11,1244.43137254902,3304.5,14,23,34,11,30,21
186,999.5,2026.5,12,27,25,8,1279,2442.65853658537,12,30,28,8,23,33
187,805.5,1807.65789473684,15,29,33,27,751,1462.46153846154,21,47,44,26,42,28
188,1078,2446.76923076923,17,33,-99,-99,-99,-99,2,-99,-99,-99,42,14
189,2130.375,4784.4,4,2,11,5,1664,3041.5,5,18,12,8,13,33
190,1275.59183673469,2875,15,39,37,23,896,2804,15,43,26,25,30,27
191,968.76,2536,18,49,53,31,1068,2255.5,23,49,34,29,39,27
192,1120.65306122449,2451.89189189189,2,40,42,25,1072.11764705882,2698.5,5,47,40,24,24,28
193,708.627450980392,1398.71052631579,17,48,53,31,682.117647058824,1206.88235294118,18,41,47,34,34,28
194,894.4,2360.4,19,42,40,23,664.78431372549,1700.46153846154,16,30,41,29,39,27
195,1461.2,1892.21052631579,4,57,49,27,-99,-99,-99,-99,-99,-99,29,-99
196,698.43137254902,1811.38461538462,23,48,49,37,729.04,1705.5,22,52,47,34,43,28
197,1265.70212765957,2723.63636363636,4,27,23,15,988.604651162791,2678.66666666667,3,4,3,3,17,28
198,898.56,2013.45454545455,18,36,38,19,763.404255319149,1730.02941176471,17,41,33,20,22,28
199,1045.09803921569,2849.82352941176,18,37,42,21,812.627450980392,2049,17,43,38,18,34,25
200,1080.27450980392,2822,9,21,14,11,1529,2831.41463414634,9,21,13,11,17,28
201,921,2691.6,13,29,26,12,1021.5,3885.56756756757,14,23,22,17,27,27
202,908,1946.34146341463,20,30,26,19,751.450980392157,3339.51219512195,23,50,46,30,33,28
203,928.5,3027.07317073171,14,33,26,14,944.156862745098,3018.47368421053,14,27,26,12,31,27
204,821.6,2224.92307692308,14,36,24,12,821.803921568628,2038.53658536585,9,47,44,28,38,21
205,1253.5,2338,16,45,46,25,897,1527,19,39,39,29,35,14
206,1452,4074,14,18,17,16,1245,3506.48780487805,12,22,23,17,28,33
207,1327.52941176471,2745.75,18,35,35,18,809,1697.92682926829,22,45,43,26,34,28
208,1343.8431372549,2648.0487804878,16,36,39,22,-99,-99,-99,-99,-99,-99,30,-99
209,1112.39215686275,1901.35135135135,11,28,26,14,1093,1864.15384615385,16,29,26,16,30,28
210,658.297872340426,1703.21052631579,16,37,32,17,737.674418604651,1473.15,16,23,29,19,31,28
211,1229.58333333333,2728.34210526316,15,43,31,20,1052,2147.12195121951,15,48,44,25,32,21
212,956.041666666667,1942.83870967742,9,43,38,12,853,2160.16216216216,18,42,38,23,27,27
213,1645.13725490196,2515.90243902439,8,17,27,13,1358.36734693878,2219.7,9,16,14,10,19,28
214,1084.86274509804,2306.5,15,33,30,17,1019.60784313725,2524.84615384615,15,29,27,23,31,33
215,759.958333333333,2045.64705882353,15,37,24,22,1651,3044.46153846154,12,31,30,20,28,21
216,880.816326530612,3883.86486486487,11,36,17,12,1077.21568627451,3157,14,21,7,5,19,38
217,731.058823529412,1907.41463414634,17,48,45,28,729.083333333333,1660.53658536585,20,53,45,31,25,38
218,1638.72222222222,3754.8,6,26,22,19,1150.11764705882,2915.5,7,9,11,6,20,38
219,1289.80392156863,2424.45,6,11,21,13,1096.58823529412,2792.48780487805,11,25,22,13,17,40
220,964.549019607843,2607.23076923077,9,26,28,14,1575.82608695652,5628.72413793103,8,24,14,7,21,40
221,1363.375,2977.90243902439,6,18,11,4,1295.32,2618.36842105263,6,16,12,4,22,38
222,1287,2178,9,26,25,19,1261,2168,12,40,37,19,25,38
223,1540,2409.36585365854,17,36,36,23,1096.5,3139.5,16,49,29,10,24,40
224,1377.5,3857.34146341463,7,23,19,10,1720,3148.5,10,19,26,14,26,18
226,1462.76,4116,4,33,28,24,-99,-99,-99,-99,-99,-99,21,-99
227,1601.16666666667,4421.84615384615,4,19,18,10,1219.73913043478,3532.30769230769,5,16,19,6,19,38
228,1469,3641.51351351351,3,18,19,-99,1137.24,4154.37931034483,6,6,8,3,17,18
230,1240.5,2685.84615384615,8,33,41,21,-99,-99,-99,-99,-99,-99,25,-99
231,1337.44,3586.45945945946,3,20,16,4,-99,-99,-99,-99,-99,-99,13,-99
232,924,1800.225,19,34,41,29,879.921568627451,1465,17,45,38,29,31,40
233,-99,2727.30769230769,16,26,43,17,1099.13725490196,2117.23076923077,19,32,22,8,20,38
234,1167.5,1950,11,32,16,6,-99,-99,3,2,-99,-99,23,38
235,1275.59183673469,2150.16666666667,14,35,26,21,1387.6862745098,2103.675,18,44,31,24,23,40
236,1859,3624.46875,3,11,4,-99,1019.41666666667,3955.875,5,-99,-99,-99,13,38
237,903.5,-99,5,6,5,-99,760.324324324324,-99,-99,9,-99,8,20,27
238,1664,4254.48648648649,8,7,-99,-99,-99,-99,-99,-99,-99,-99,28,-99
239,595.4,1818,19,49,51,36,730.122448979592,2114.36842105263,22,44,44,34,41,25
240,1004,3110,19,48,48,35,582.833333333333,1467,22,60,55,38,29,28
241,655,1618.8,22,50,-99,-99,805.422222222222,-99,22,44,43,16,45,27
242,810.588235294118,1622.775,20,43,43,27,870.745098039216,2749.38461538462,20,46,45,29,33,25
243,1023,1813.875,18,39,42,26,937.04,1514.1,15,44,37,25,33,25
244,782.5,1663.60975609756,17,39,41,22,675,1048.92307692308,14,53,50,24,30,28
245,1118.5652173913,-99,-99,-99,6,-99,-99,-99,4,28,6,3,30,27
246,1740.66666666667,-99,4,-99,-99,-99,771.333333333333,-99,7,-99,16,4,22,27
248,774.901960784314,2218.46153846154,13,43,41,30,621.92,1749.65853658537,18,49,45,31,34,28
249,624,1154.46153846154,20,49,-99,-99,825.5,-99,-99,12,-99,14,30,27
250,838.117647058824,2226,20,41,38,31,724.816326530612,1547.85365853659,17,54,48,31,31,25
251,821.736842105263,2534.25,6,-99,-99,-99,743.6,-99,-99,35,17,6,23,27
252,700.408163265306,1927.33333333333,15,46,35,20,734.085106382979,2031.75,11,43,23,19,36,25
253,870.235294117647,1762.2972972973,14,40,4,-99,748.163265306122,-99,-99,47,43,29,24,27
254,940.5,2258.025,19,52,47,30,863.652173913043,1610,17,59,52,31,32,28
