NC,DM,NS,ADD,SUB,CA,NP,SN,AF,BC,AS,PF,Label
1244.5,1929.5,17,46,41,32,1587.0,-685.0,34.0,11.5,5,0.02142407057340895,0
745.702127659574,1984.5,12,44,37,22,1365.101063829787,-1238.797872340426,28.75,18.5,7,0.02106071173905759,1
992.68,1753.0,9,33,33,27,1372.84,-760.32,25.5,6.0,0,0.018574633606246907,0
595.450980392157,1105.65,23,62,61,37,850.5504901960785,-510.19901960784307,45.75,24.5,1,0.05378869394273489,1
739.96,1453.2,16,54,54,27,1096.58,-713.24,37.75,27.0,0,0.03442521293476081,0
707.0,1237.46341463415,19,50,50,29,972.231707317075,-530.46341463415,37.0,21.0,0,0.03805677157156648,1
510.823529411765,1225.18421052632,21,62,60,33,868.0038699690424,-714.360681114555,44.0,28.0,2,0.05069101823424966,0
802.88,1472.56097560976,18,46,45,28,1137.72048780488,-669.6809756097599,34.25,17.5,1,0.030104054877382068,0
912.6,2303.92105263158,21,48,45,28,1608.26052631579,-1391.3210526315802,35.5,18.5,3,0.022073538098534042,0
1158.56,1816.21621621622,13,44,37,25,1487.38810810811,-657.65621621622,29.75,15.5,7,0.020001504541972335,1
765.0,1854.3,23,55,54,34,1309.65,-1089.3,41.5,20.5,1,0.031687855533921276,0
852.681818181818,2034.16216216216,13,37,32,19,1443.421990171989,-1181.480343980342,25.25,15.5,5,0.01749315181002014,0
599.659574468085,1736.75675675676,12,46,46,30,1168.2081656124226,-1137.097182288675,33.5,16.0,0,0.028676396027790072,0
1080.0,2508.0,13,32,28,15,1794.0,-1428.0,22.0,15.0,4,0.012263099219620958,1
1248.0,1768.30769230769,11,30,23,18,1508.153846153845,-520.3076923076901,20.5,8.5,7,0.013592777721105793,1
1213.33333333333,2438.0487804878,14,41,38,15,1825.6910569105648,-1224.7154471544698,27.0,24.5,3,0.014788920555753508,0
1085.88235294118,1498.5,20,45,42,26,1292.19117647059,-412.61764705882,33.25,17.5,3,0.02573148664489179,0
795.918367346939,1253.85365853659,14,41,41,23,1024.8860129417644,-457.935291189651,29.75,18.0,0,0.029027618314945665,0
713.96,1065.75,20,50,40,31,889.855,-351.78999999999996,35.25,14.0,10,0.03961319540824067,1
1237.0,1980.46153846154,19,43,38,19,1608.73076923077,-743.4615384615399,29.75,21.5,5,0.018492839553398515,1
686.0,916.829268292683,21,59,53,29,801.4146341463415,-230.82926829268297,40.5,27.0,6,0.05053563820074258,0
678.039215686275,1032.15,13,51,48,27,855.0946078431375,-354.11078431372505,34.75,22.5,3,0.04063877807351897,1
1195.48,1855.17073170732,11,30,24,21,1525.32536585366,-659.6907317073201,21.5,6.0,6,0.014095353346443143,0
921.0,1673.0,21,64,55,36,1297.0,-752.0,44.0,23.5,9,0.03392444101773323,0
735.137254901961,1435.17073170732,19,63,61,32,1085.1539933046406,-700.0334768053591,43.75,30.0,2,0.040316858501130586,0
661.96,1356.075,18,49,45,30,1009.0175,-694.115,35.5,17.0,4,0.03518273964524896,0
972.0,2331.0,14,41,35,23,1651.5,-1359.0,28.25,15.0,6,0.017105661519830458,0
836.5,1344.0,21,48,46,31,1090.25,-507.5,36.5,16.0,2,0.033478559963311165,0
