NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
1093.0612244898,1582.875,19.0,38.0,36.0,21.0,0,1337.9681122449,-489.8137755102,28.5,16.0,2.0,0.0213009560834452
1085.88235294118,1498.5,20.0,45.0,42.0,26.0,0,1292.19117647059,-412.61764705882,33.25,17.5,3.0,0.0257314866448718
1759.4223897058828,3553.2,11.0,18.0,24.0,14.0,1,2656.3111948529413,-1793.777610294117,16.75,7.0,-6.0,0.0063057370809751
607.686274509804,1515.07317073171,23.0,51.0,48.0,33.0,0,1061.379722620757,-907.386896221906,38.75,16.5,3.0,0.0365090826347068
658.297872340426,1703.21052631579,16.0,37.0,32.0,17.0,0,1180.754199328108,-1044.912653975364,25.5,17.5,5.0,0.0215963661314851
980.2,3614.0487804878,12.0,24.0,26.0,15.0,1,2297.1243902439,-2633.8487804878,19.25,10.0,-2.0,0.0083800424921472
882.0,1596.0,24.0,50.0,45.0,34.0,0,1239.0,-714.0,38.25,13.5,5.0,0.0308716707021542
1052.0,2284.0,18.0,45.0,40.0,33.0,0,1668.0,-1232.0,34.0,9.5,5.0,0.0203836930455513
972.0,2331.0,14.0,41.0,35.0,23.0,0,1651.5,-1359.0,28.25,15.0,6.0,0.0171056615198201
1251.05882352941,2636.78048780488,16.0,42.0,33.0,23.0,1,1943.919655667145,-1385.7216642754702,28.5,14.5,9.0,0.0146610997614529
757.5,1542.73170731707,18.0,40.0,36.0,28.0,0,1150.115853658535,-785.23170731707,30.5,10.0,4.0,0.0265190675382419
1289.80392156863,2424.45,6.0,11.0,21.0,13.0,1,1857.1269607843149,-1134.64607843137,12.75,3.0,-10.0,0.0068654433806768
1069.12,3261.0,7.0,28.0,24.0,11.0,0,2165.06,-2191.88,17.5,15.0,4.0,0.0080829168706603
1548.0,2815.0,14.0,19.0,24.0,16.0,1,2181.5,-1267.0,18.25,5.5,-5.0,0.0083658033463175
1079.76470588235,637.5,15.0,39.0,3.0,21.0,0,858.632352941175,442.26470588235,19.5,0.0,36.0,0.0227105348793131
1575.91836734694,2815.07692307692,4.0,10.0,15.0,7.0,1,2195.49764521193,-1239.1585557299802,9.0,5.5,-5.0,0.004099298407185
757.56862745098,2303.36842105263,15.0,34.0,31.0,17.0,0,1530.4685242518049,-1545.79979360165,24.25,15.5,3.0,0.0158448211222371
702.509803921569,1377.075,18.0,40.0,30.0,26.0,0,1039.7924019607844,-674.5651960784311,28.5,9.0,10.0,0.0274093174235826
1638.72222222222,3754.8,6.0,26.0,22.0,19.0,1,2696.76111111111,-2116.0777777777803,18.25,5.0,4.0,0.0067673773271203
1710.46808510638,3418.39024390244,4.0,19.0,19.0,13.0,1,2564.42916450441,-1707.92215879606,13.75,6.0,0.0,0.0053618170430735
1212.44897959184,2699.025,18.0,55.0,48.0,31.0,0,1955.73698979592,-1486.57602040816,38.0,20.5,7.0,0.0194300154868706
962.509803921569,1758.0,6.0,33.0,10.0,10.0,1,1360.2549019607843,-795.490196078431,14.75,11.5,23.0,0.0108435558502507
750.285714285714,1572.66666666667,17.0,46.0,41.0,26.0,0,1161.476190476192,-822.3809523809559,32.5,17.5,5.0,0.0279816325693662
1602.5,2602.92307692308,15.0,34.0,27.0,10.0,0,2102.71153846154,-1000.42307692308,21.5,20.5,7.0,0.0102248927666608
1342.5,2542.61538461538,10.0,25.0,22.0,3.0,0,1942.55769230769,-1200.1153846153802,15.0,20.5,3.0,0.0077217783849563
1586.0,3100.62162162162,4.0,15.0,16.0,7.0,1,2343.31081081081,-1514.62162162162,10.5,8.5,-1.0,0.0044808396528339
1425.92156862745,3537.45,9.0,15.0,11.0,13.0,1,2481.685784313725,-2111.5284313725497,12.0,0.0,4.0,0.0048354227903648
757.25,1167.83333333333,15.0,48.0,44.0,30.0,0,962.541666666665,-410.5833333333301,34.25,16.0,4.0,0.0355828752001708
1759.4223897058828,2945.5,11.0,32.0,36.0,17.0,0,2352.4611948529414,-1186.0776102941172,24.0,17.0,-4.0,0.0102020811448454
752.5,1684.09756097561,7.0,37.0,32.0,21.0,0,1218.2987804878048,-931.59756097561,24.25,13.5,5.0,0.0199048052812385
739.96,1453.2,16.0,54.0,54.0,27.0,0,1096.58,-713.24,37.75,27.0,0.0,0.0344252129347294
655.0,1618.8,22.0,50.0,34.0,21.0,0,1136.9,-963.8,31.75,21.0,16.0,0.0279268185416237
1452.0,4074.0,14.0,18.0,17.0,16.0,0,2763.0,-2622.0,16.25,1.5,1.0,0.0058812884545762
1495.76470588235,3014.78048780488,3.0,15.0,4.0,21.0,1,2255.2725968436152,-1519.01578192253,10.75,-11.5,11.0,0.0047666078216178
656.76,1239.0,22.0,57.0,44.0,33.0,0,947.88,-582.24,39.0,17.5,13.0,0.0411444486643444
865.5,1490.46153846154,18.0,46.0,36.0,19.0,0,1177.98076923077,-624.9615384615399,29.75,22.0,10.0,0.0252550812178383
758.16,2303.53846153846,17.0,46.0,45.0,22.0,0,1530.84923076923,-1545.3784615384602,32.5,23.5,1.0,0.0212300462689248
836.5,1344.0,21.0,48.0,46.0,31.0,0,1090.25,-507.5,36.5,16.0,2.0,0.0334785599632804
612.56,1902.92307692308,17.0,27.0,29.0,5.0,0,1257.74153846154,-1290.36307692308,19.5,23.0,-2.0,0.0155039802723195
642.0,1084.46153846154,20.0,65.0,60.0,38.0,0,863.23076923077,-442.46153846153993,45.75,24.5,5.0,0.0529985742291312
592.392156862745,1184.61538461538,20.0,58.0,59.0,34.0,0,888.5037707390625,-592.223227752635,42.75,24.5,-1.0,0.0481145960296737
921.0,1673.0,21.0,64.0,55.0,36.0,0,1297.0,-752.0,44.0,23.5,9.0,0.033924441017707
