NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
882.916666666667,2332.05,8.0,26.0,20.0,15.0,1,1607.4833333333336,-1449.1333333333332,17.25,8.0,6.0,0.0107310599384063
1548.0,2815.0,14.0,19.0,24.0,16.0,1,2181.5,-1267.0,18.25,5.5,-5.0,0.0083658033463175
661.96,1356.075,18.0,49.0,45.0,30.0,0,1009.0175,-694.115,35.5,17.0,4.0,0.035182739645214
835.5,1937.12195121951,11.0,28.0,24.0,3.0,1,1386.3109756097551,-1101.62195121951,16.5,23.0,4.0,0.011902091442889
936.0,2524.30769230769,8.0,33.0,33.0,22.0,0,1730.153846153845,-1588.30769230769,24.0,11.0,0.0,0.0138715987906731
642.0,1084.46153846154,20.0,65.0,60.0,38.0,0,863.23076923077,-442.46153846153993,45.75,24.5,5.0,0.0529985742291312
870.745098039216,2312.27027027027,18.0,51.0,46.0,24.0,0,1591.507684154743,-1441.525172231054,34.75,24.5,5.0,0.0218346416708845
1158.625,2031.225,11.0,28.0,26.0,18.0,0,1594.925,-872.5999999999999,20.75,9.0,2.0,0.0130100161449516
725.960784313726,1106.0,22.0,56.0,52.0,34.0,1,915.980392156863,-380.039215686274,41.0,20.0,4.0,0.0447607834742099
880.816326530612,3883.86486486487,11.0,36.0,17.0,12.0,1,2382.340595697741,-3003.048538334258,19.0,14.5,19.0,0.0079753499706566
956.583333333333,1350.825,13.0,41.0,30.0,21.0,0,1153.7041666666664,-394.241666666667,26.25,14.5,11.0,0.0227527998584073
627.64,1275.89189189189,18.0,53.0,38.0,30.0,0,951.7659459459452,-648.2518918918901,34.75,15.5,15.0,0.0365110772748083
1084.86274509804,2306.5,15.0,33.0,30.0,17.0,0,1695.68137254902,-1221.63725490196,23.75,14.5,3.0,0.0140061690742547
811.607843137255,2027.26829268293,18.0,33.0,35.0,19.0,0,1419.4380679100925,-1215.660449545675,26.25,15.0,-2.0,0.0184932337616044
592.28,1621.97368421053,14.0,43.0,38.0,22.0,0,1107.126842105265,-1029.69368421053,29.25,18.5,5.0,0.0264197370053399
838.117647058824,2226.0,20.0,41.0,38.0,31.0,0,1532.058823529412,-1387.882352941176,32.5,8.5,3.0,0.0212132846995446
887.0,1823.5,25.0,61.0,65.0,41.0,0,1355.25,-936.5,48.0,22.0,-4.0,0.0354178195904553
607.686274509804,1515.07317073171,23.0,51.0,48.0,33.0,0,1061.379722620757,-907.386896221906,38.75,16.5,3.0,0.0365090826347068
1062.43137254902,2552.0,19.0,42.0,41.0,31.0,1,1807.21568627451,-1489.56862745098,33.25,10.5,1.0,0.018398468014919
1206.0,2049.38461538462,8.0,38.0,33.0,15.0,1,1627.69230769231,-843.3846153846198,23.5,20.5,5.0,0.0144376181474391
903.5,1946.34146341463,5.0,6.0,5.0,21.0,1,1424.920731707315,-1042.84146341463,9.25,-15.5,1.0,0.0064915891769714
666.5,1378.125,27.0,61.0,63.0,34.0,0,1022.3125,-711.625,46.25,28.0,-2.0,0.0452405697865914
739.916666666667,1281.53846153846,14.0,44.0,39.0,26.0,0,1010.7275641025636,-541.6217948717931,30.75,15.5,5.0,0.0304236285742071
1527.10204081633,2352.0,10.0,40.0,17.0,18.0,0,1939.551020408165,-824.8979591836701,21.25,10.5,23.0,0.0109561438582405
854.127659574468,3091.42105263158,16.0,32.0,26.0,15.0,1,1972.774356103024,-2237.293393057112,22.25,14.0,6.0,0.0112785326568928
923.764705882353,1515.675,13.0,31.0,18.0,12.0,1,1219.7198529411764,-591.9102941176469,18.5,12.5,13.0,0.0151674173010915
908.0,1946.34146341463,20.0,30.0,26.0,19.0,0,1427.170731707315,-1038.34146341463,23.75,9.0,4.0,0.0166413166079796
